store_name,location_long,location_lat,product_group,product_brand,product_name,sales_volume,date_of_manufacture,date_of_expiry,product_price,status,duration_of_expiry,discount,discount_percentage,discount_price,last_status,ultra_discount_percentage,ultra_discount
FreshFoods,69.3330385730267,41.35155480124086,Bakery Products,Makfa,Buns,14,2024-12-23,2025-01-21,5.13,yes,29,yes,49.9,2.55987,no,49.9,2.55987
FreshFoods,69.12779848422527,41.321227668044465,Dairy Products,Amul,Yogurt,92,2025-02-14,2025-05-08,5.36,yes,83,no,0.0,0.0,yes,0.0,0.0
PrimePick,69.33431698033954,41.28607730478808,Bakery Products,Pioner,Bread,36,2024-06-06,2024-08-07,7.7,yes,62,yes,50.0,3.85,no,50.0,3.85
FreshFoods,69.36848565706077,41.372508175348926,Meat Products,Cherkizovo,Poultry,6,2024-11-09,2024-12-20,7.5,no,41,yes,50.0,3.75,no,50.0,3.75
FreshFoods,69.12573120846231,41.30240210560823,Sweets,Milka,Halva,25,2024-04-23,2024-08-14,8.61,no,113,yes,50.0,4.305,no,50.0,4.305
FreshFoods,69.21557558033294,41.2252033428152,Beverages,Nestlé Pure Life,Tea,82,2024-09-21,2025-09-02,6.18,yes,346,yes,16.8,1.03824,yes,0.0,0.0
PrimePick,69.22480763636727,41.31736511725862,Dairy Products,Amul,Cream,22,2024-12-17,2025-01-31,3.31,yes,45,yes,50.0,1.655,no,50.0,1.655
TastyBite,69.24851641155705,41.343433220409196,Dairy Products,Danone,Butter,5,2024-08-27,2024-10-31,4.14,yes,65,yes,50.0,2.07,no,50.0,2.07
NutriMart,69.21859152743886,41.215930328883545,Beverages,Lipton,Tea,19,2024-08-01,2025-06-19,4.45,yes,322,no,0.0,0.0,yes,0.0,0.0
PrimePick,69.37552081509912,41.2408746855794,Sweets,Nestlé,Cakes,29,2024-05-28,2025-05-13,6.94,no,350,no,0.0,0.0,no,0.0,0.0
FreshFoods,69.32418843198546,41.31342047236656,Beverages,Nescafé,Mineral Water,50,2024-09-30,2026-07-21,8.41,no,659,yes,14.3,1.20263,no,0.0,0.0
MegaMarket,69.39146817089257,41.35982741942365,Sweets,Milka,Jam,44,2024-05-15,2025-01-10,6.35,yes,240,yes,50.0,3.175,no,50.0,3.175
PrimePick,69.38811076802652,41.37045291814471,Sweets,Mars,Jam,39,2025-02-09,2026-01-24,8.09,yes,349,no,0.0,0.0,yes,0.0,0.0
SuperValue,69.3983685893596,41.38447202623368,Sweets,Mars,Halva,42,2024-11-24,2025-03-03,3.12,yes,99,yes,45.9,1.43208,no,45.9,1.43208
PrimePick,69.21288007555567,41.25616168490638,Sweets,Mars,Chocolate,94,2024-11-22,2025-03-27,11.78,yes,125,yes,33.3,3.9227399999999992,yes,33.3,3.9227399999999992
SuperValue,69.36743884019451,41.24794399370859,Sweets,Ferrero,Cakes,68,2025-01-23,2025-11-25,11.64,no,306,no,0.0,0.0,no,0.0,0.0
EcoGrocer,69.26147651125332,41.32194487969674,Meat Products,Perdue,Hot Dogs,58,2024-05-19,2024-06-10,9.49,yes,22,yes,50.0,4.745,no,50.0,4.745
NutriMart,69.35339396239279,41.236522898133785,Dairy Products,Nestlé,Cream,81,2024-04-18,2024-05-31,2.54,yes,43,yes,50.0,1.27,no,50.0,1.27
GoldenCart,69.14981301498847,41.397760424636445,Beverages,Pepsi,Coffee,17,2025-01-05,2026-10-31,4.4,yes,664,no,0.0,0.0,yes,0.0,0.0
MarketMax,69.13987197857902,41.26462281531315,Beverages,Nestlé Pure Life,Tea,53,2024-11-13,2025-07-06,10.43,no,235,no,0.0,0.0,no,0.0,0.0
FreshFoods,69.10795434844376,41.39991733853454,Dairy Products,Danone,Yogurt,25,2024-12-18,2025-02-27,3.12,yes,71,yes,40.2,1.25424,no,40.2,1.25424
FoodWorld,69.36205788149795,41.24250330970572,Beverages,Nescafé,Mineral Water,7,2025-02-15,2025-08-29,14.57,no,195,yes,10.6,1.54442,no,0.0,0.0
EcoGrocer,69.31989755235861,41.3193636706862,Bakery Products,Pioner,Wheat Flour,22,2024-09-29,2024-10-06,7.9,yes,7,yes,50.0,3.95,no,50.0,3.95
FoodWorld,69.15444033685877,41.207982795057326,Sweets,Nestlé,Candies,25,2024-08-17,2025-03-06,11.69,yes,201,yes,40.7,4.75783,no,40.7,4.75783
TastyBite,69.33912806985334,41.29416394087578,Dairy Products,Amul,Cheese,65,2024-12-15,2025-01-18,2.46,yes,34,yes,50.0,1.23,no,50.0,1.23
SuperValue,69.16732364868872,41.265920839246974,Bakery Products,Pioner,Wheat Flour,73,2024-07-23,2024-12-25,5.16,yes,155,yes,50.0,2.58,no,50.0,2.58
MarketMax,69.19354600396066,41.22226878617014,Meat Products,Hormel,Lamb,86,2024-08-26,2024-09-17,10.31,yes,22,yes,50.0,5.155,no,50.0,5.155
PrimePick,69.23841189381045,41.347040763200255,Dairy Products,Nestlé,Cheese,80,2025-01-01,2025-01-27,2.59,yes,26,yes,50.0,1.295,no,50.0,1.295
PrimePick,69.3756060704864,41.38283039258528,Dairy Products,Danone,Kefir,37,2024-06-07,2024-08-16,8.67,no,70,yes,50.0,4.335,no,50.0,4.335
NutriMart,69.2129447578375,41.368522250355646,Sweets,Mars,Jam,71,2024-08-19,2025-01-09,11.39,yes,143,yes,50.0,5.695,no,50.0,5.695
FreshFoods,69.27296657808846,41.340223502231986,Bakery Products,Ozon,Bread,78,2024-07-04,2024-10-06,2.43,yes,94,yes,50.0,1.215,no,50.0,1.215
PrimePick,69.19198519015234,41.32384404305138,Dairy Products,Nestlé,Cream,55,2024-08-07,2024-08-26,2.03,no,19,yes,50.0,1.015,no,50.0,1.015
PrimePick,69.25098612732715,41.3966127603318,Beverages,Nescafé,Mineral Water,15,2024-04-26,2025-03-24,8.64,no,332,yes,24.2,2.0908800000000003,no,24.2,2.0908800000000003
NutriMart,69.33037923581813,41.35687943958964,Dairy Products,Parmalat,Kefir,6,2024-09-18,2024-10-28,7.46,yes,40,yes,50.0,3.73,no,50.0,3.73
