store_name,location_long,location_lat,product_group,product_brand,product_name,sales_volume,date_of_manufacture,date_of_expiry,product_price,status
FreshFoods,-118.2661970681631,34.00470107552226,Bakery Products,Makfa,Buns,14,2024-12-23,2025-01-21,5.13,yes
FreshFoods,-118.24316447118967,34.02406379748036,Dairy Products,Amul,Yogurt,92,2025-02-14,2025-05-08,5.36,yes
PrimePick,-112.12335012403219,33.47934304566778,Bakery Products,Pioner,Bread,36,2024-06-06,2024-08-07,7.7,yes
FreshFoods,-118.25780206195154,34.04019273006373,Meat Products,Cherkizovo,Poultry,6,2024-11-09,2024-12-20,7.5,no
FreshFoods,-118.2107595335747,34.05740406312732,Sweets,Milka,Halva,25,2024-04-23,2024-08-14,8.61,no
FreshFoods,-118.20705163332448,34.08773177210151,Beverages,Nestlé Pure Life,Tea,82,2024-09-21,2025-09-02,6.18,yes
PrimePick,-112.05564523344633,33.46858203134585,Dairy Products,Amul,Cream,22,2024-12-17,2025-01-31,3.31,yes
TastyBite,139.63272827344153,35.64816151739703,Dairy Products,Danone,Butter,5,2024-08-27,2024-10-31,4.14,yes
NutriMart,-99.15173221192015,19.470236762647268,Beverages,Lipton,Tea,19,2024-08-01,2025-06-19,4.45,yes
PrimePick,-112.08115661727054,33.47310138116522,Sweets,Nestlé,Cakes,29,2024-05-28,2025-05-13,6.94,no
FreshFoods,-118.27770179982775,34.01748413193482,Beverages,Nescafé,Mineral Water,50,2024-09-30,2026-07-21,8.41,no
MegaMarket,-74.04454482570164,40.730828341025656,Sweets,Milka,Jam,44,2024-05-15,2025-01-10,6.35,yes
PrimePick,-112.0478037800948,33.49558880988701,Sweets,Mars,Jam,39,2025-02-09,2026-01-24,8.09,yes
SuperValue,-87.60193735213694,41.88203790301196,Sweets,Mars,Halva,42,2024-11-24,2025-03-03,3.12,yes
PrimePick,-112.09991284075528,33.4223452310338,Sweets,Mars,Chocolate,94,2024-11-22,2025-03-27,11.78,yes
SuperValue,-87.63227176219013,41.840939146449976,Sweets,Ferrero,Cakes,68,2025-01-23,2025-11-25,11.64,no
EcoGrocer,-95.37990077000026,29.781694897281913,Meat Products,Perdue,Hot Dogs,58,2024-05-19,2024-06-10,9.49,yes
NutriMart,-99.12435598855896,19.437992152242447,Dairy Products,Nestlé,Cream,81,2024-04-18,2024-05-31,2.54,yes
GoldenCart,-0.15399953656310048,51.46448573498886,Beverages,Pepsi,Coffee,17,2025-01-05,2026-10-31,4.4,yes
MarketMax,2.311893081422882,48.82564099143619,Beverages,Nestlé Pure Life,Tea,53,2024-11-13,2025-07-06,10.43,no
FreshFoods,-118.22087864115589,34.008261267407704,Dairy Products,Danone,Yogurt,25,2024-12-18,2025-02-27,3.12,yes
FoodWorld,37.6596265599276,55.73078064478821,Beverages,Nescafé,Mineral Water,7,2025-02-15,2025-08-29,14.57,no
EcoGrocer,-95.37123588745493,29.72703111106039,Bakery Products,Pioner,Wheat Flour,22,2024-09-29,2024-10-06,7.9,yes
FoodWorld,37.63695915036001,55.73432492289469,Sweets,Nestlé,Candies,25,2024-08-17,2025-03-06,11.69,yes
TastyBite,139.63166048097696,35.63229575714765,Dairy Products,Amul,Cheese,65,2024-12-15,2025-01-18,2.46,yes
SuperValue,-87.67300391366243,41.834952133270384,Bakery Products,Pioner,Wheat Flour,73,2024-07-23,2024-12-25,5.16,yes
MarketMax,2.3587226923844087,48.87233731644725,Meat Products,Hormel,Lamb,86,2024-08-26,2024-09-17,10.31,yes
PrimePick,-112.03109816682945,33.444122457257045,Dairy Products,Nestlé,Cheese,80,2025-01-01,2025-01-27,2.59,yes
PrimePick,-112.08909911650355,33.411645657036644,Dairy Products,Danone,Kefir,37,2024-06-07,2024-08-16,8.67,no
NutriMart,-99.10249000567349,19.48098533102515,Sweets,Mars,Jam,71,2024-08-19,2025-01-09,11.39,yes
FreshFoods,-118.2194583316019,34.09117127070057,Bakery Products,Ozon,Bread,78,2024-07-04,2024-10-06,2.43,yes
PrimePick,-112.09888787479301,33.4489409058098,Dairy Products,Nestlé,Cream,55,2024-08-07,2024-08-26,2.03,no
PrimePick,-112.07981644881392,33.414558197627386,Beverages,Nescafé,Mineral Water,15,2024-04-26,2025-03-24,8.64,no
NutriMart,-99.14022132871193,19.4378525096745,Dairy Products,Parmalat,Kefir,6,2024-09-18,2024-10-28,7.46,yes
GoldenCart,-0.0893865298548991,51.53541162418714,Beverages,Nescafé,Carbonated Drinks,31,2024-06-10,2025-06-06,13.34,yes
GoldenCart,-0.13662868334484463,51.53563864961476,Bakery Products,Ozon,Pasta,90,2024-05-13,2024-08-25,7.11,no
EcoGrocer,-95.32795480987704,29.730357283002576,Meat Products,Hormel,Lamb,29,2024-03-31,2024-05-19,8.86,yes
FreshFoods,-118.26578750072781,34.09888891040484,Sweets,Nestlé,Jam,69,2024-09-04,2024-12-17,3.15,no
SuperValue,-87.5814449427117,41.886158973373874,Dairy Products,Nestlé,Cottage Cheese,56,2024-09-11,2024-11-04,5.49,no
FreshFoods,-118.23604119565034,34.040719543334475,Meat Products,Tyson,Smoked Meat,56,2024-03-19,2024-04-28,23.51,yes
EcoGrocer,-95.41280261888737,29.746822147178126,Meat Products,Cherkizovo,Poultry,85,2024-05-21,2024-07-13,23.0,yes
MarketMax,2.3719208414194397,48.83921829048574,Sweets,Ferrero,Candies,54,2024-09-29,2025-03-27,8.16,yes
TastyBite,139.63068749492683,35.70957251693041,Bakery Products,Pioner,Noodles,78,2024-08-30,2025-01-03,4.09,yes
TastyBite,139.69041808258282,35.67351861859093,Bakery Products,Barilla,Bread,66,2025-02-06,2025-07-21,3.35,no
EcoGrocer,-95.39733593340027,29.777679567055717,Bakery Products,Makfa,Wheat Flour,6,2024-07-22,2024-11-27,5.28,no
FoodWorld,37.63027653807377,55.747244101099774,Bakery Products,Pioner,Biscuits,52,2024-07-21,2024-09-03,5.59,yes
FreshFoods,-118.27181588631878,34.08004204067673,Sweets,Nestlé,Chocolate,72,2024-07-24,2024-12-23,6.56,no
TastyBite,139.65984523184693,35.724989245306645,Beverages,Nescafé,Coffee,55,2024-12-24,2026-09-21,13.56,no
FoodWorld,37.64247767865005,55.75080697572469,Meat Products,Cherkizovo,Sausage,81,2024-07-19,2024-08-12,13.8,no
EcoGrocer,-95.38782904315812,29.737571510708218,Sweets,Mars,Candies,20,2024-07-15,2025-04-27,8.94,no
FreshFoods,-118.26061186089619,34.04368678958982,Beverages,Lipton,Mineral Water,27,2024-10-20,2026-05-21,13.67,yes
MegaMarket,-73.97944054238819,40.7484732032304,Beverages,Lipton,Mineral Water,46,2024-08-18,2026-03-20,12.95,no
MarketMax,2.3756634060756356,48.860422056761024,Sweets,Ferrero,Ice Cream,29,2024-08-05,2025-06-14,6.86,yes
MarketMax,2.3862505663062556,48.87901813776273,Bakery Products,Yashkino,Noodles,4,2024-10-06,2025-03-13,4.95,yes
MarketMax,2.348369844405151,48.820169948723056,Dairy Products,Parmalat,Cheese,42,2024-07-05,2024-09-15,4.61,no
MarketMax,2.397320411986056,48.834425661563884,Beverages,Nestlé Pure Life,Mineral Water,61,2024-03-28,2024-11-16,15.0,yes
FreshFoods,-118.22852453447561,34.08032330496109,Dairy Products,Danone,Yogurt,3,2025-01-31,2025-03-05,3.91,yes
FreshFoods,-118.27190354590935,34.058596958193,Meat Products,Hormel,Lamb,78,2025-01-23,2025-03-18,19.37,no
SuperValue,-87.66899012503424,41.92457207730341,Dairy Products,Parmalat,Cottage Cheese,87,2024-09-27,2024-11-30,9.53,yes
NutriMart,-99.1204757604399,19.4516614415933,Dairy Products,Campina,Butter,39,2025-01-20,2025-02-18,8.37,yes
MegaMarket,-74.01316219867653,40.697520376530846,Meat Products,Tyson,Hot Dogs,83,2024-09-09,2024-09-16,21.99,no
FreshFoods,-118.2574811961505,34.04555234013258,Beverages,Pepsi,Tea,23,2024-12-11,2026-03-12,9.62,no
FoodWorld,37.64987345984208,55.75228737716345,Sweets,Milka,Cakes,32,2024-05-02,2024-12-20,10.82,yes
FoodWorld,37.63411884704455,55.76278496446783,Meat Products,Tyson,Sausage,42,2024-06-20,2024-07-28,9.24,no
GoldenCart,-0.11818449920625707,51.48536584880375,Meat Products,Cherkizovo,Beef,67,2024-06-24,2024-07-06,9.83,yes
TastyBite,139.66936093394463,35.70201646534825,Beverages,Lipton,Mineral Water,12,2024-08-16,2025-09-26,6.66,yes
NutriMart,-99.12785270449898,19.419502045066103,Meat Products,Perdue,Smoked Meat,71,2024-09-04,2024-10-03,19.06,yes
PrimePick,-112.05187156686739,33.42145380412985,Meat Products,Tyson,Smoked Meat,69,2024-06-21,2024-07-10,9.33,yes
NutriMart,-99.13073631308914,19.480260702288305,Meat Products,Tyson,Lamb,38,2024-07-13,2024-08-12,8.59,yes
TastyBite,139.6048515700983,35.6388582959848,Dairy Products,Amul,Kefir,90,2024-05-22,2024-08-06,2.82,yes
PrimePick,-112.0799531201864,33.44533969449305,Bakery Products,Barilla,Bread,62,2024-05-16,2024-06-08,3.8,yes
MegaMarket,-73.97488579237249,40.67797270069509,Meat Products,Tyson,Lamb,16,2024-12-29,2025-02-22,13.32,yes
NutriMart,-99.13094274648698,19.405168713706505,Beverages,Lipton,Juices,76,2024-10-24,2026-02-28,8.96,yes
FreshFoods,-118.27292120941765,34.096959020032536,Bakery Products,Ozon,Buns,11,2024-06-07,2024-08-14,2.22,yes
MegaMarket,-73.98706288642153,40.703651757266,Beverages,Nestlé Pure Life,Mineral Water,30,2024-08-13,2025-11-25,10.84,yes
EcoGrocer,-95.34101719733532,29.802791104448257,Sweets,Ferrero,Ice Cream,15,2024-12-22,2025-07-15,8.48,no
SuperValue,-87.66320772107792,41.83524098368559,Meat Products,Cherkizovo,Smoked Meat,73,2024-08-13,2024-09-17,7.49,yes
MarketMax,2.3522472177117923,48.9008676240744,Beverages,Lipton,Mineral Water,77,2024-04-08,2025-12-21,11.28,yes
MegaMarket,-73.95980888978072,40.6719326886631,Sweets,Roshen,Chocolate,98,2024-08-03,2024-11-21,9.63,yes
TastyBite,139.69190727879266,35.691350948943374,Bakery Products,Yashkino,Biscuits,82,2024-11-25,2024-12-25,4.29,yes
GoldenCart,-0.09202669055996474,51.524413350952116,Meat Products,Perdue,Smoked Meat,64,2024-08-13,2024-10-01,23.9,no
TastyBite,139.60910597927756,35.629869713031376,Meat Products,Hormel,Beef,99,2024-10-11,2024-11-19,21.5,yes
TastyBite,139.60572040853765,35.67239763449822,Sweets,Milka,Halva,97,2024-11-29,2025-10-11,9.6,yes
TastyBite,139.62910291449882,35.639301322895044,Beverages,Coca-Cola,Mineral Water,81,2025-01-24,2026-03-25,10.94,yes
MegaMarket,-74.04667907987185,40.718025140905375,Dairy Products,President,Milk,83,2024-06-05,2024-08-21,9.46,yes
PrimePick,-112.07575004230421,33.439949034293534,Beverages,Pepsi,Tea,71,2024-06-01,2025-12-25,3.67,yes
SuperValue,-87.6521752597178,41.91450269344286,Beverages,Nestlé Pure Life,Coffee,35,2024-03-20,2025-07-02,11.16,no
NutriMart,-99.13423596533443,19.482490233322935,Bakery Products,Pioner,Noodles,62,2024-09-11,2024-12-12,4.86,yes
FoodWorld,37.654260168323404,55.799085225571524,Bakery Products,Yashkino,Biscuits,30,2024-10-15,2024-11-02,3.23,yes
MarketMax,2.3685688829484532,48.8452078752491,Bakery Products,Pioner,Wheat Flour,17,2024-12-01,2025-05-08,3.32,yes
FoodWorld,37.65834416776965,55.7157711697742,Dairy Products,Campina,Yogurt,53,2024-06-06,2024-06-29,5.76,no
GoldenCart,-0.13805166761142265,51.5197259400522,Dairy Products,Parmalat,Butter,87,2024-12-17,2025-02-17,9.63,yes
FoodWorld,37.57088990998377,55.793038301739855,Dairy Products,Danone,Cream,88,2024-08-13,2024-09-25,7.97,yes
FreshFoods,-118.2233109170671,34.078236969299425,Dairy Products,President,Yogurt,89,2024-08-19,2024-09-05,2.37,no
PrimePick,-112.08093132121446,33.43424633423004,Bakery Products,Yashkino,Biscuits,73,2024-06-19,2024-08-08,2.23,yes
MarketMax,2.326282979185631,48.868571036853744,Sweets,Ferrero,Candies,60,2025-02-08,2025-09-16,6.6,yes
FoodWorld,37.635061088569906,55.79592094235989,Bakery Products,Barilla,Biscuits,45,2025-01-13,2025-04-06,5.47,yes
PrimePick,-112.09378783294616,33.44408358126678,Beverages,Lipton,Mineral Water,31,2024-09-30,2026-03-31,9.05,no
PrimePick,-112.04099624385071,33.40059395978596,Beverages,Nestlé Pure Life,Mineral Water,73,2024-04-13,2026-03-02,12.66,no
EcoGrocer,-95.38456790441647,29.771106499816426,Bakery Products,Yashkino,Bread,87,2024-05-28,2024-11-11,1.68,yes
MegaMarket,-74.01191768098371,40.69369328839527,Sweets,Milka,Jam,17,2024-05-04,2024-12-31,5.27,yes
EcoGrocer,-95.36585922410156,29.723615979774678,Meat Products,Cherkizovo,Hot Dogs,35,2024-06-11,2024-07-04,23.28,no
PrimePick,-112.0901284746198,33.473055935071706,Dairy Products,President,Milk,19,2024-07-12,2024-09-14,9.74,no
GoldenCart,-0.1383425439671288,51.466430287556854,Meat Products,Cherkizovo,Beef,59,2024-09-23,2024-11-12,19.98,yes
MarketMax,2.3962291891779555,48.88884173012268,Dairy Products,Campina,Yogurt,61,2024-03-31,2024-06-24,4.62,yes
FreshFoods,-118.24727324636774,34.06574039223779,Meat Products,Perdue,Beef,18,2024-04-11,2024-04-20,11.09,yes
FreshFoods,-118.23994533941175,34.02568000324313,Beverages,Lipton,Juices,86,2024-12-20,2026-08-21,9.22,no
MarketMax,2.385569308329632,48.872092189749345,Sweets,Nestlé,Cakes,5,2024-09-24,2025-04-13,6.43,no
GoldenCart,-0.10923197345187147,51.46733546246061,Sweets,Milka,Chocolate,51,2024-08-07,2025-02-10,11.68,no
FoodWorld,37.58851058154233,55.714967342381755,Sweets,Mars,Chocolate,43,2024-07-21,2024-12-22,9.87,yes
TastyBite,139.62189513519186,35.64691573703467,Bakery Products,Ozon,Pasta,77,2024-03-20,2024-06-05,7.01,yes
SuperValue,-87.59994861764424,41.88212154568632,Dairy Products,Campina,Butter,4,2024-05-25,2024-06-09,4.87,no
NutriMart,-99.16577537985938,19.414977146196204,Dairy Products,Danone,Cream,54,2024-12-13,2025-01-10,7.97,yes
GoldenCart,-0.16689459899961545,51.508723795760915,Sweets,Ferrero,Halva,6,2024-12-10,2025-08-11,6.58,no
MegaMarket,-73.97127014568328,40.76265867550893,Beverages,Coca-Cola,Tea,92,2024-11-01,2025-07-14,13.59,yes
SuperValue,-87.6522984000442,41.83466822333202,Sweets,Roshen,Jam,42,2024-09-30,2025-09-26,4.95,yes
MarketMax,2.3723779418546065,48.816517846167905,Sweets,Ferrero,Ice Cream,58,2024-07-13,2025-05-10,5.39,yes
MarketMax,2.333454834999713,48.87956125076345,Meat Products,Hormel,Poultry,20,2024-11-16,2024-11-27,6.82,yes
MarketMax,2.3760795998488713,48.81625644325658,Bakery Products,Yashkino,Wheat Flour,76,2024-12-31,2025-05-30,3.31,yes
GoldenCart,-0.08368701311477703,51.54476073722343,Beverages,Coca-Cola,Juices,77,2024-08-25,2026-02-16,2.45,yes
SuperValue,-87.65737551308925,41.89377363029882,Dairy Products,Parmalat,Butter,72,2024-09-23,2024-10-21,8.1,yes
MarketMax,2.399654660212571,48.891115516132835,Sweets,Roshen,Jam,83,2024-12-29,2025-04-11,8.09,yes
PrimePick,-112.09667296112873,33.40129531810613,Meat Products,Hormel,Poultry,1,2024-06-19,2024-07-05,16.33,yes
SuperValue,-87.5826189681242,41.90219690591184,Dairy Products,Campina,Cottage Cheese,28,2024-09-27,2024-12-03,5.63,yes
PrimePick,-112.04631643800333,33.470559596774265,Sweets,Roshen,Chocolate,7,2024-06-06,2024-11-23,9.54,yes
FreshFoods,-118.22750613071918,34.02941028435462,Beverages,Nescafé,Tea,54,2024-08-05,2025-09-09,11.57,yes
MarketMax,2.3700217892933533,48.817688977220094,Sweets,Nestlé,Halva,86,2024-08-23,2024-12-14,4.21,no
MegaMarket,-74.02585806379815,40.66356870858999,Bakery Products,Makfa,Bread,38,2024-09-02,2024-10-09,1.05,no
SuperValue,-87.62654176521326,41.841018570175926,Bakery Products,Yashkino,Noodles,86,2024-09-16,2024-10-11,3.78,no
MarketMax,2.394316243450241,48.808474153658565,Meat Products,Cherkizovo,Sausage,74,2024-10-12,2024-12-03,17.8,yes
MarketMax,2.334676817944551,48.80868565590247,Sweets,Nestlé,Jam,47,2024-05-03,2025-03-12,10.44,yes
NutriMart,-99.17533529125171,19.42264498163161,Meat Products,Hormel,Lamb,43,2024-06-13,2024-06-24,15.21,yes
TastyBite,139.67792282293243,35.64559037062669,Meat Products,Oscar Mayer,Lamb,14,2024-06-01,2024-06-24,8.95,yes
FreshFoods,-118.21641519107524,34.01991461289472,Beverages,Lipton,Coffee,98,2025-01-09,2026-10-10,10.54,no
NutriMart,-99.08610269357919,19.414920824164337,Meat Products,Oscar Mayer,Sausage,9,2024-11-14,2024-12-19,17.63,no
NutriMart,-99.13246631147102,19.38821721202131,Meat Products,Perdue,Sausage,5,2024-04-17,2024-05-17,21.63,yes
FreshFoods,-118.2429932182666,34.063700838841555,Beverages,Nescafé,Coffee,95,2024-04-09,2026-01-09,13.73,yes
EcoGrocer,-95.3722370972057,29.742552676288042,Bakery Products,Barilla,Biscuits,14,2024-09-10,2024-10-08,4.53,yes
EcoGrocer,-95.3207013977353,29.781162170432328,Sweets,Roshen,Halva,21,2024-09-21,2025-06-28,11.18,yes
GoldenCart,-0.17256344824639938,51.525289772055956,Meat Products,Tyson,Poultry,13,2024-12-29,2025-02-17,12.73,yes
NutriMart,-99.14986379639394,19.469927966206054,Sweets,Ferrero,Cakes,40,2024-10-05,2025-03-10,7.95,no
PrimePick,-112.05965067366387,33.454292207009104,Meat Products,Oscar Mayer,Smoked Meat,90,2024-12-13,2024-12-25,17.92,yes
GoldenCart,-0.14691339299361192,51.45922305377915,Bakery Products,Ozon,Biscuits,25,2024-07-12,2024-08-23,2.08,yes
FreshFoods,-118.23972292415864,34.05296897127246,Sweets,Mars,Jam,44,2025-01-29,2025-07-05,7.97,yes
SuperValue,-87.6026902186269,41.911234505668915,Bakery Products,Pioner,Wheat Flour,53,2024-09-21,2025-03-20,6.04,no
NutriMart,-99.10834634819045,19.411092793256337,Beverages,Pepsi,Coffee,31,2024-08-24,2026-06-15,13.66,yes
NutriMart,-99.1370320021559,19.48104397935316,Meat Products,Perdue,Hot Dogs,68,2024-10-19,2024-11-05,21.34,no
SuperValue,-87.6745820196739,41.91540019200594,Beverages,Nestlé Pure Life,Coffee,14,2024-12-08,2025-10-11,4.99,no
PrimePick,-112.07266472620714,33.44333192203738,Beverages,Coca-Cola,Carbonated Drinks,58,2024-09-13,2025-04-08,6.81,yes
GoldenCart,-0.07834746487617088,51.48097780738634,Meat Products,Oscar Mayer,Beef,41,2024-05-08,2024-07-07,19.29,yes
SuperValue,-87.65111206026867,41.84185995877259,Beverages,Pepsi,Tea,58,2025-01-28,2025-08-01,13.68,yes
EcoGrocer,-95.36491957545562,29.79389630992824,Sweets,Roshen,Ice Cream,15,2024-08-13,2025-03-12,5.01,yes
MarketMax,2.3644810568340966,48.87049517321728,Dairy Products,Nestlé,Butter,64,2025-01-18,2025-04-10,2.13,yes
