store_name,location_long,location_lat,product_group,product_brand,product_name,sales_volume,date_of_manufacture,date_of_expiry,product_price,status
FreshFoods,69.35160984019959,41.35488324837294,Bakery Products,Makfa,Buns,14,2024-12-23,2025-01-21,5.13,yes
FreshFoods,69.22128770324012,41.24181262937393,Dairy Products,Amul,Yogurt,92,2025-02-14,2025-05-08,5.36,yes
PrimePick,69.33831218421956,41.399210849235125,Bakery Products,Pioner,Bread,36,2024-06-06,2024-08-07,7.7,yes
FreshFoods,69.36504566356827,41.36238603986955,Meat Products,Cherkizovo,Poultry,6,2024-11-09,2024-12-20,7.5,no
FreshFoods,69.35782423572014,41.332497944229566,Sweets,Milka,Halva,25,2024-04-23,2024-08-14,8.61,no
FreshFoods,69.27600292359517,41.20004573651216,Beverages,Nestlé Pure Life,Tea,82,2024-09-21,2025-09-02,6.18,yes
PrimePick,69.25089038937409,41.28532711056676,Dairy Products,Amul,Cream,22,2024-12-17,2025-01-31,3.31,yes
TastyBite,69.28456075756304,41.38945501633178,Dairy Products,Danone,Butter,5,2024-08-27,2024-10-31,4.14,yes
NutriMart,69.21183328580722,41.31097138814197,Beverages,Lipton,Tea,19,2024-08-01,2025-06-19,4.45,yes
PrimePick,69.22312651590966,41.35481554947696,Sweets,Nestlé,Cakes,29,2024-05-28,2025-05-13,6.94,no
FreshFoods,69.3633115267993,41.28883405959768,Beverages,Nescafé,Mineral Water,50,2024-09-30,2026-07-21,8.41,no
MegaMarket,69.31515100238494,41.331673297448845,Sweets,Milka,Jam,44,2024-05-15,2025-01-10,6.35,yes
PrimePick,69.36927243268427,41.339034464307474,Sweets,Mars,Jam,39,2025-02-09,2026-01-24,8.09,yes
SuperValue,69.21991037939635,41.34953752264045,Sweets,Mars,Halva,42,2024-11-24,2025-03-03,3.12,yes
PrimePick,69.14690178328009,41.39585491551833,Sweets,Mars,Chocolate,94,2024-11-22,2025-03-27,11.78,yes
SuperValue,69.19853921041639,41.23636935410395,Sweets,Ferrero,Cakes,68,2025-01-23,2025-11-25,11.64,no
EcoGrocer,69.34250990918032,41.340781613276654,Meat Products,Perdue,Hot Dogs,58,2024-05-19,2024-06-10,9.49,yes
NutriMart,69.21643060444852,41.39481617841285,Dairy Products,Nestlé,Cream,81,2024-04-18,2024-05-31,2.54,yes
GoldenCart,69.21245327377645,41.22325760683954,Beverages,Pepsi,Coffee,17,2025-01-05,2026-10-31,4.4,yes
MarketMax,69.29387879757738,41.259356703950495,Beverages,Nestlé Pure Life,Tea,53,2024-11-13,2025-07-06,10.43,no
FreshFoods,69.34868776708683,41.29227315692182,Dairy Products,Danone,Yogurt,25,2024-12-18,2025-02-27,3.12,yes
FoodWorld,69.31661186215304,41.295845359263716,Beverages,Nescafé,Mineral Water,7,2025-02-15,2025-08-29,14.57,no
EcoGrocer,69.12770069898386,41.21910417906534,Bakery Products,Pioner,Wheat Flour,22,2024-09-29,2024-10-06,7.9,yes
FoodWorld,69.3267464047512,41.232996791059534,Sweets,Nestlé,Candies,25,2024-08-17,2025-03-06,11.69,yes
TastyBite,69.13399892181876,41.22906783399474,Dairy Products,Amul,Cheese,65,2024-12-15,2025-01-18,2.46,yes
SuperValue,69.28657574592495,41.24469549285238,Bakery Products,Pioner,Wheat Flour,73,2024-07-23,2024-12-25,5.16,yes
MarketMax,69.11533407255185,41.25256713152451,Meat Products,Hormel,Lamb,86,2024-08-26,2024-09-17,10.31,yes
PrimePick,69.36714637790479,41.378032319206746,Dairy Products,Nestlé,Cheese,80,2025-01-01,2025-01-27,2.59,yes
PrimePick,69.34037789090743,41.31335727099825,Dairy Products,Danone,Kefir,37,2024-06-07,2024-08-16,8.67,no
